date_code,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result
17-B-2186,117.0,20.8,535.0,1,1,0,1,0
17-B-2187,117.0,21.0,296.0,1,1,0,1,0
17-B-2189,117.0,21.0,325.0,1,1,0,1,0
17-B-2190,117.0,20.9,533.0,1,0,0,1,0
17-B-2191,117.0,20.4,383.0,1,1,0,1,0
17-B-2192,117.0,20.3,547.0,1,1,0,1,0
17-B-2193,117.0,20.0,438.0,1,1,1,1,1
17-B-2194,117.0,19.7,410.0,1,1,0,1,0
17-B-2195,117.0,21.1,505.0,1,1,0,1,0
17-B-2196,117.0,20.0,329.0,1,1,1,1,1
17-B-2197,117.0,20.1,701.0,1,1,0,1,0
17-B-2198,117.0,19.5,594.0,1,1,0,1,0
17-B-2199,117.0,20.4,488.0,1,1,1,1,1
17-B-2200,117.0,21.4,594.0,1,1,1,1,1
17-B-2201,117.0,21.3,475.0,1,1,1,1,1
17-B-2202,117.0,20.4,536.0,1,1,1,1,1
17-B-2203,117.0,21.3,504.0,1,1,1,1,1
17-B-2204,117.0,19.2,344.0,1,1,1,1,1
17-B-2205,117.0,20.5,389.0,1,1,1,1,1
17-B-2206,117.0,21.1,357.0,1,1,0,1,0
17-B-2207,117.0,20.2,459.0,1,1,0,1,0
17-B-2208,117.0,21.0,473.0,1,1,0,1,0
17-B-2209,117.0,21.0,361.0,1,1,0,1,0
17-B-2210,117.0,20.7,480.0,1,1,0,1,0
17-B-2211,117.0,20.7,453.0,1,1,0,1,0
17-B-2212,117.0,21.4,482.0,1,1,0,1,0
17-B-2213,117.0,21.6,479.0,1,1,0,1,0
17-B-2214,117.0,22.0,503.0,1,1,1,1,1
17-B-2215,117.0,21.7,481.0,1,1,1,1,1
17-B-2216,117.0,20.7,503.0,1,1,1,1,1
17-B-2217,117.0,21.1,445.0,1,1,1,1,1
17-B-2218,117.0,20.6,619.0,1,0,1,1,0
17-B-2219,117.0,22.0,469.0,1,1,0,1,0
17-B-2220,117.0,21.3,384.0,1,1,0,1,0
17-B-2221,117.0,21.4,388.0,1,1,0,1,0
17-B-2222,117.0,21.7,579.0,1,1,1,1,1
17-B-2223,117.0,21.1,558.0,1,1,1,1,1
17-B-2224,117.0,21.5,554.0,1,1,0,1,0
17-B-2225,117.0,21.0,512.0,1,1,1,1,1
17-B-2227,117.0,19.75,500.0,1,0,0,1,0
17-B-2228,117.0,19.7,441.0,1,1,1,1,1
17-B-2230,117.0,20.9,399.0,1,1,1,1,1
17-B-2231,117.0,19.5,425.0,1,1,1,1,1
17-B-2232,117.0,20.7,460.0,1,0,1,1,0
17-B-2233,117.0,19.9,574.0,1,1,1,1,1
17-B-2234,117.0,20.6,387.0,1,0,1,1,0
17-B-2235,117.0,20.4,508.0,1,1,1,1,1
17-B-2236,117.0,20.4,705.0,1,1,1,1,1
17-B-2238,117.0,20.3,520.0,1,1,0,1,0
17-B-2239,117.0,19.4,575.5,1,1,1,1,1
17-B-2241,117.0,19.7,676.0,1,1,1,1,1
17-B-2242,117.0,19.9,433.0,1,1,0,1,0
17-B-2243,117.0,20.1,412.0,1,0,0,1,0
17-B-2244,117.0,20.8,530.0,1,1,1,1,1
17-B-2245,117.0,20.2,484.0,1,1,0,1,0
17-B-2246,117.0,19.4,396.0,1,1,1,1,1
17-B-2247,117.0,20.4,427.0,1,1,1,1,1
17-B-2248,117.0,20.0,457.0,1,0,1,1,0
17-B-2249,117.0,20.9,515.0,1,0,1,1,0
17-B-2270,65.0,24.8,634.0,1,1,1,1,1
17-B-2271,65.0,27.4,705.0,1,1,1,1,1
17-B-2272,65.0,23.6,562.0,1,1,1,1,1
17-B-2273,65.0,23.3,665.0,1,1,1,1,1
17-B-2274,65.0,21.4,405.0,1,1,1,1,1
17-B-2275,65.0,22.0,519.0,1,1,1,1,1
17-B-2276,65.0,23.4,568.0,1,1,1,1,1
